original_id,x,y,macro_id,micro_id
6373,491.789,0.338463,0,1
10229,384.395,0.814886,0,1
38690,510.53,1.08686,0,1
42162,219.156,0.495347,0,1
28515,106.921,0.270248,0,1
49523,373.71,1.37546,0,1
31694,296.497,1.33382,0,1
17520,186.21,0.847246,0,1
13939,305.746,1.53125,0,1
27768,387.716,2.12226,0,1
23926,338.108,2.01166,0,1
16515,346.323,2.44995,0,1
33013,429.143,3.78299,0,1
12780,286.073,2.63324,0,1
18981,122.379,1.26061,0,1
21179,241.504,2.53142,0,1
3406,400.429,4.60344,0,1
8163,361.099,4.18068,0,1
31393,397.899,4.95293,0,1
34493,424.661,5.57852,0,1
16677,182.839,2.60042,0,1
18396,436.065,6.38763,0,1
2975,305.985,4.54974,0,1
7919,417.309,6.90139,0,1
39182,344.694,5.74922,0,1
21859,330.663,5.68342,0,1
36000,505.535,9.01546,0,1
21253,308.435,6.55529,0,1
49390,297.132,6.73465,0,1
7471,501.518,11.5872,0,1
14097,281.629,6.82087,0,1
18637,263.487,6.77595,0,1
12896,443.867,11.505,0,1
13986,212.042,5.59807,0,1
2123,264.245,7.02702,0,1
20074,431.948,11.5366,0,1
7896,445.291,11.9366,0,1
34057,354.67,9.53727,0,1
5570,170.903,4.60381,0,1
28436,392.308,10.7797,0,1
21159,247.02,6.9423,0,1
44412,299.728,8.66723,0,1
22740,364.633,10.5941,0,1
25814,306.758,8.9891,0,1
34009,245.343,7.2472,0,1
40792,357.179,10.6604,0,1
6680,212.783,6.60522,0,1
35291,431.343,13.5614,0,1
46961,355.455,11.2168,0,1
21801,352.393,11.1699,0,1
24184,131.882,4.23308,0,1
42883,132.921,4.30538,0,1
4759,384.359,12.4785,0,1
44213,271.296,8.85398,0,1
32899,417.1,14.1057,0,1
27703,278.454,9.49867,0,1
38892,371.949,12.7517,0,1
48824,506.158,17.3663,0,1
36302,399.974,13.7698,0,1
3841,417.443,14.4751,0,1
28622,487.113,16.9327,0,1
8820,426.924,15.0672,0,1
2129,465.755,16.711,0,1
46102,400.504,14.3881,0,1
18413,474.164,17.5471,0,1
33026,419.401,15.6219,0,1
23122,407.266,15.1716,0,1
33566,386.07,14.5024,0,1
6535,326.997,12.2865,0,1
36886,419.213,16.1202,0,1
11678,287.744,11.2912,0,1
5451,331.33,13.1974,0,1
11650,238.897,9.64945,0,1
6978,328.787,13.7681,0,1
3862,479.732,20.1384,0,1
38650,354.024,14.9533,0,1
39013,208.662,9.17339,0,1
2904,275.406,12.1662,0,1
43310,460.472,20.4389,0,1
3246,453.172,20.1205,0,1
8523,284.328,12.7696,0,1
39706,83.1568,3.76532,0,1
8793,241.107,11.106,0,1
3609,310.344,14.4079,0,1
49043,198.104,9.26619,0,1
29027,302.344,14.1742,0,1
24513,253.781,12.0856,0,1
12924,443.057,21.5342,0,1
26576,418.476,20.5268,0,1
18429,297.324,14.8107,0,1
46900,309.959,15.5295,0,1
11505,470.299,23.6213,0,1
21914,319.439,16.2263,0,1
40591,290.33,14.9594,0,1
12012,404.73,20.8697,0,1
45440,442.658,23.094,0,1
24087,77.2339,4.11708,0,1
48236,414.017,22.131,0,1
12587,296.618,15.9523,0,1
33017,230.772,12.5815,0,1
43429,339.457,18.7057,0,1
42545,494.262,27.2745,0,1
24542,252.744,13.9763,0,1
24051,399.972,22.5494,0,1
24313,487.029,27.615,0,1
15780,465.902,26.5791,0,1
30575,96.6214,5.55647,0,1
11504,105.72,6.09146,0,1
14476,251.458,14.5324,0,1
37488,171.531,10.3564,0,1
43109,384.537,23.6304,0,1
205,375.569,23.314,0,1
49608,468.334,29.2331,0,1
3119,410.725,26.4315,0,1
39755,491.322,31.6428,0,1
46545,216.261,14.2496,0,1
24292,487.177,32.7258,0,1
34816,82.8545,5.64693,0,1
20369,54.2227,3.69755,0,1
38097,485.056,33.2294,0,1
44870,492.937,33.8588,0,1
39833,295.208,20.2987,0,1
6213,495.132,35.5763,0,1
1995,72.9408,5.26023,0,1
27994,415.694,30.0551,0,1
36952,174.305,12.9909,0,1
2311,308.155,23.1812,0,1
49628,286.934,21.8361,0,1
8023,434.954,33.2111,0,1
25230,260.073,19.956,0,1
42334,450.878,34.6435,0,1
15075,442.371,34.024,0,1
18768,510.042,39.806,0,1
9850,195.288,15.2539,0,1
6416,324.247,25.3393,0,1
43270,333.224,26.2055,0,1
38197,495.313,38.9773,0,1
15273,471.381,37.9054,0,1
11549,466.293,38.1288,0,1
32130,478.106,40.1271,0,1
42208,248.758,20.9498,0,1
23120,414.414,35.0304,0,1
28437,357.815,30.4547,0,1
23243,507.714,43.3592,0,1
42229,486.266,42.2025,0,1
38655,323.677,28.5027,0,1
16807,382.158,34.0447,0,1
43008,279.591,24.9801,0,1
9544,412.289,36.99,0,1
24737,454.017,40.7389,0,1
7061,416.778,37.595,0,1
11943,255.19,23.3691,0,1
14443,377.678,34.6162,0,1
13021,395.179,36.3327,0,1
1934,468.7,43.4668,0,1
39812,465.245,43.3136,0,1
21203,276.424,26.0192,0,1
29209,434.669,41.4116,0,1
27390,243.937,23.3019,0,1
43851,470.935,45.4954,0,1
14890,380.3,36.9572,0,1
6356,312.092,30.9371,0,1
22514,160.397,15.9211,0,1
47963,489.805,48.6939,0,1
29199,332.152,33.0979,0,1
44058,340.741,34.1186,0,1
5330,431.488,43.5776,0,1
5120,250.568,25.8594,0,1
45386,261.222,27.0628,0,1
29333,441.228,45.7192,0,1
