macro_id,micro_id,cost,success
0,0,639997.0,True
0,2,888238.0,True
0,1,640675.0,True
0,3,892523.0,True
0,4,546734.0,True
0,5,404492.0,True
0,6,231627.0,True
0,7,133879.0,True
0,8,155581.0,True
0,9,302147.0,True
0,12,920549.0,True
0,11,452365.0,True
0,10,342417.0,True
0,13,1359560.0,True
0,14,1435920.0,True
0,15,1283590.0,True
0,17,1062130.0,True
0,16,1232810.0,True
0,18,1642920.0,True
0,19,1966490.0,True
0,21,3246420.0,True
0,20,2775370.0,True
0,22,3558570.0,True
0,27,2541510.0,True
0,25,3609730.0,True
0,24,3602460.0,True
0,23,4131040.0,True
0,26,2777850.0,True
0,28,2950360.0,True
0,29,2925080.0,True
0,30,3728220.0,True
0,31,4885950.0,True
0,32,4098580.0,True
0,33,4803390.0,True
0,35,6140580.0,True
0,34,5125230.0,True
0,36,6064960.0,True
0,38,5968240.0,True
0,37,6299580.0,True
0,39,6999210.0,True
0,40,6500770.0,True
0,41,4371340.0,True
0,43,3288750.0,True
0,42,3667240.0,True
0,44,3202080.0,True
0,45,2936170.0,True
0,46,2494460.0,True
0,47,2455110.0,True
0,49,2095780.0,True
0,48,1883110.0,True
0,50,2246120.0,True
0,51,2014680.0,True
0,54,921814.0,True
0,52,1989440.0,True
0,53,1650470.0,True
0,56,582146.0,True
0,55,711103.0,True
0,57,775123.0,True
0,59,1041100.0,True
0,58,796145.0,True
0,62,1524450.0,True
0,60,1208750.0,True
0,63,1554930.0,True
0,61,1350790.0,True
0,64,1527710.0,True
0,65,,True
0,66,1559980.0,True
0,67,1588920.0,True
0,68,1572150.0,True
0,70,979339.0,True
1,71,3900390.0,True
1,73,4058720.0,True
0,69,1532630.0,True
1,74,3297460.0,True
1,72,4485980.0,True
1,75,2553090.0,True
1,76,1946490.0,True
1,77,1248130.0,True
1,78,1423160.0,True
1,79,1102820.0,True
1,80,892272.0,True
1,82,945159.0,True
1,81,790873.0,True
1,83,952456.0,True
1,84,733471.0,True
1,85,664585.0,True
1,88,394868.0,True
1,86,534220.0,True
1,87,465229.0,True
1,89,268778.0,True
1,90,135327.0,True
1,93,466753.0,True
1,95,673682.0,True
1,94,559513.0,True
1,92,296382.0,True
1,91,206952.0,True
1,96,808939.0,True
1,97,905680.0,True
1,98,1351630.0,True
1,101,852495.0,True
1,99,1086010.0,True
1,100,968964.0,True
1,102,1206050.0,True
1,103,2767850.0,True
1,104,3059900.0,True
1,106,3742610.0,True
1,105,3119170.0,True
1,107,4738320.0,True
1,109,7068940.0,True
1,108,7312550.0,True
1,110,3294960.0,True
1,111,2576710.0,True
1,112,2599890.0,True
1,113,2493300.0,True
1,114,2103100.0,True
1,115,2956310.0,True
1,116,413776.0,True
2,117,4223950.0,True
2,118,5646100.0,True
2,120,6670530.0,True
2,119,6862670.0,True
2,121,7074380.0,True
2,122,7172320.0,True
2,124,8050260.0,True
2,123,7514430.0,True
2,125,8002640.0,True
2,126,9291580.0,True
2,127,9371820.0,True
2,128,9567210.0,True
2,129,10082000.0,True
2,130,10483500.0,True
2,132,11658100.0,True
2,131,10970700.0,True
2,133,11046600.0,True
2,135,10056100.0,True
2,134,10588200.0,True
2,136,9965670.0,True
2,137,10318100.0,True
2,138,11892800.0,True
2,139,11971100.0,True
2,140,12436300.0,True
2,141,13194900.0,True
2,142,12800400.0,True
2,143,12343000.0,True
2,144,10649700.0,True
2,145,10194900.0,True
2,146,10375800.0,True
2,147,9430940.0,True
2,149,8281700.0,True
2,148,7866270.0,True
2,150,9266550.0,True
2,151,7754960.0,True
2,152,7650750.0,True
2,153,7992520.0,True
2,156,7054830.0,True
2,154,7624590.0,True
2,155,7574830.0,True
2,157,6880190.0,True
2,158,7120710.0,True
2,159,7958960.0,True
2,160,7988320.0,True
2,161,8034790.0,True
2,162,7987480.0,True
2,163,6410910.0,True
2,164,5924620.0,True
2,165,6130130.0,True
2,166,6398130.0,True
2,167,6427730.0,True
2,168,5957840.0,True
2,169,5338810.0,True
2,170,5709560.0,True
2,171,6375930.0,True
2,172,6329110.0,True
2,173,5454150.0,True
2,174,5276720.0,True
2,175,5023700.0,True
2,176,4946980.0,True
2,177,3354930.0,True
2,178,2220010.0,True
2,179,2875350.0,True
2,180,3275480.0,True
2,182,1339590.0,True
2,181,1770660.0,True
2,185,1403780.0,True
2,183,1160690.0,True
2,184,1289200.0,True
2,186,1893200.0,True
2,187,2267740.0,True
2,189,1333870.0,True
2,188,1794500.0,True
2,191,1043470.0,True
2,190,1535740.0,True
2,192,902103.0,True
2,193,846929.0,True
2,194,658327.0,True
2,195,804688.0,True
2,196,753529.0,True
2,197,759712.0,True
2,198,401058.0,True
2,199,189164.0,True
2,201,450610.0,True
2,202,221171.0,True
2,200,300206.0,True
2,203,133978.0,True
2,204,129195.0,True
2,205,411710.0,True
2,206,522908.0,True
2,207,870039.0,True
2,208,1493800.0,True
2,209,2180220.0,True
2,211,4577180.0,True
2,210,3671900.0,True
2,212,4126430.0,True
2,213,2055450.0,True
3,214,5117030.0,True
3,215,3049750.0,True
3,216,2344970.0,True
3,220,6834640.0,True
3,218,4053990.0,True
3,217,2793020.0,True
3,219,5172070.0,True
3,222,8449630.0,True
3,221,7491430.0,True
3,223,8489960.0,True
3,224,8558300.0,True
3,225,9451250.0,True
3,227,11127500.0,True
3,226,10696000.0,True
3,228,8753060.0,True
3,229,6639470.0,True
3,230,7387600.0,True
3,231,7012680.0,True
3,232,5066110.0,True
3,233,4213630.0,True
3,235,2317350.0,True
3,234,3844090.0,True
3,236,1262680.0,True
3,237,1333690.0,True
3,239,942471.0,True
3,238,1087390.0,True
3,240,853841.0,True
3,241,582193.0,True
3,243,419352.0,True
3,242,353398.0,True
3,244,518656.0,True
3,245,600850.0,True
3,246,509868.0,True
3,247,367047.0,True
3,248,216032.0,True
3,249,118837.0,True
3,250,110746.0,True
3,251,173142.0,True
3,252,309268.0,True
3,253,430624.0,True
3,254,582148.0,True
3,255,648160.0,True
3,256,814117.0,True
3,257,844036.0,True
3,258,881881.0,True
3,259,801203.0,True
3,260,738324.0,True
3,261,760098.0,True
3,262,962281.0,True
3,263,1078120.0,True
3,265,1266920.0,True
3,264,1267150.0,True
3,267,1251740.0,True
3,266,1273890.0,True
3,268,1559200.0,True
3,269,2143100.0,True
3,270,3010530.0,True
3,271,4171150.0,True
3,272,2526970.0,True
4,273,3027500.0,True
4,275,2901410.0,True
4,274,2865020.0,True
4,277,3130790.0,True
4,276,3003370.0,True
4,278,3199490.0,True
4,279,2894840.0,True
4,281,2196790.0,True
4,280,2566020.0,True
4,283,812424.0,True
4,282,1416280.0,True
4,285,359703.0,True
4,286,190344.0,True
4,284,620322.0,True
4,287,130468.0,True
4,288,324331.0,True
4,289,531984.0,True
4,290,516459.0,True
4,291,775333.0,True
4,292,1365490.0,True
4,293,1312540.0,True
4,294,634480.0,True
4,295,1021070.0,True
4,296,2102210.0,True
4,297,2886210.0,True
4,299,2861690.0,True
4,298,3056330.0,True
4,300,1300500.0,True
5,303,3123260.0,True
5,302,3111110.0,True
5,301,3097250.0,True
5,304,3679930.0,True
5,305,3049040.0,True
5,306,2725860.0,True
5,307,2327480.0,True
5,309,2336860.0,True
5,308,2205100.0,True
5,311,2320790.0,True
5,310,2414820.0,True
5,312,2568840.0,True
5,314,2445700.0,True
5,313,2497240.0,True
5,315,2554110.0,True
5,317,2086830.0,True
5,318,1999090.0,True
5,316,2144660.0,True
5,319,1894960.0,True
5,320,1749220.0,True
5,321,1555380.0,True
5,322,1460420.0,True
5,323,1276170.0,True
5,324,1081840.0,True
5,325,909458.0,True
5,326,967361.0,True
5,327,1093090.0,True
5,329,713730.0,True
5,328,744633.0,True
5,330,591101.0,True
5,331,599483.0,True
5,332,618406.0,True
5,333,550224.0,True
5,334,439368.0,True
5,335,419930.0,True
5,336,426182.0,True
5,337,268086.0,True
5,338,209219.0,True
5,339,351061.0,True
5,341,883124.0,True
5,340,729596.0,True
5,343,1495880.0,True
5,342,1242450.0,True
5,344,2096380.0,True
5,345,1641120.0,True
5,346,1708280.0,True
5,347,1790380.0,True
5,348,1936600.0,True
5,350,2138340.0,True
5,349,2132650.0,True
5,351,2137790.0,True
5,352,1937160.0,True
5,353,2136270.0,True
5,354,2455210.0,True
5,355,2659200.0,True
5,356,2909460.0,True
5,357,2275540.0,True
6,358,1122730.0,True
6,359,754906.0,True
6,360,672507.0,True
6,361,483627.0,True
6,362,440809.0,True
6,363,406671.0,True
6,364,375600.0,True
6,365,1096390.0,True
6,367,1737980.0,True
6,366,1357500.0,True
6,368,2122190.0,True
6,369,3623090.0,True
6,370,3437740.0,True
6,371,3158550.0,True
6,372,3264970.0,True
6,373,3600940.0,True
6,374,4081700.0,True
6,376,2855570.0,True
6,375,3383710.0,True
6,377,2048930.0,True
6,379,2604910.0,True
6,378,2312230.0,True
6,380,2723480.0,True
6,381,2871920.0,True
6,382,3176500.0,True
6,383,3985040.0,True
6,384,4771900.0,True
6,385,4997080.0,True
6,387,4445400.0,True
6,386,4530170.0,True
6,389,4489410.0,True
6,388,4123240.0,True
6,390,4822330.0,True
6,391,5419240.0,True
6,392,5418810.0,True
6,394,5403000.0,True
6,393,5911700.0,True
6,395,6974780.0,True
6,396,7389060.0,True
6,397,7148720.0,True
6,398,7656730.0,True
6,399,9573720.0,True
6,400,10752600.0,True
6,401,10057800.0,True
6,402,9946290.0,True
6,403,12993000.0,True
6,404,10778700.0,True
6,405,9693650.0,True
6,406,7926680.0,True
6,407,8163630.0,True
6,408,7129960.0,True
6,410,6893720.0,True
6,409,6567300.0,True
6,411,7183620.0,True
6,412,6950850.0,True
6,413,7349700.0,True
6,414,7316400.0,True
6,415,5718400.0,True
6,416,4810940.0,True
6,417,5565600.0,True
6,418,5864340.0,True
6,419,6254500.0,True
6,420,5956560.0,True
6,421,6077730.0,True
6,422,5769630.0,True
6,423,6150850.0,True
6,424,5785990.0,True
6,425,5246580.0,True
6,426,5518760.0,True
