Instance Name,Size (N),BKS,HGS Cost,HGS Time (s),HGS Peak Memory (MB),HGS Status,FILO2 Cost,FILO2 Time (s),FILO2 Peak Memory (MB),FILO2 Status
X-n115-k10.vrp,115,12747.0,12747.0,2700.03,5.85,OK,12747.0,44.87,57.09,OK
X-n120-k6.vrp,120,13332.0,13332.0,3889.76,6.3,OK,13332.0,52.57,46.96,OK
X-n125-k30.vrp,125,55539.0,55539.0,3889.76,6.69,OK,55883.0,39.71,13.67,OK
X-n129-k18.vrp,129,28940.0,28940.0,2700.02,6.62,OK,28940.0,52.04,22.29,OK
X-n134-k13.vrp,134,10916.0,10916.0,2700.03,6.58,OK,10933.0,54.41,43.59,OK
X-n139-k10.vrp,139,13590.0,13590.0,2700.02,6.7,OK,13590.0,56.4,58.34,OK
X-n143-k7.vrp,143,15700.0,15700.0,2700.02,6.64,OK,15726.0,42.94,19.12,OK
X-n148-k46.vrp,148,43448.0,43448.0,2700.06,5.94,OK,43541.0,45.14,27.68,OK
X-n153-k22.vrp,153,21220.0,21225.0,2700.11,5.41,OK,21366.0,36.55,20.71,OK
X-n157-k13.vrp,157,16876.0,16876.0,2700.05,5.28,OK,16876.0,69.47,26.97,OK
X-n162-k11.vrp,162,14138.0,14138.0,2700.06,5.34,OK,14169.0,67.67,56.37,OK
X-n167-k10.vrp,167,20557.0,20557.0,2700.05,5.27,OK,20583.0,64.62,39.86,OK
X-n172-k51.vrp,172,45607.0,45607.0,2700.08,6.25,OK,45607.0,38.75,14.04,OK
X-n176-k26.vrp,176,47812.0,47812.0,2700.07,5.78,OK,48014.0,43.46,14.14,OK
X-n181-k23.vrp,181,25569.0,25569.0,2700.08,5.73,OK,25569.0,69.5,18.12,OK
X-n186-k15.vrp,186,24145.0,24145.0,2700.05,5.56,OK,24149.0,43.91,21.59,OK
X-n190-k8.vrp,190,16980.0,16983.0,2700.09,5.38,OK,16986.0,52.44,18.88,OK
X-n195-k51.vrp,195,44225.0,44225.0,2700.06,6.47,OK,44351.0,45.93,19.75,OK
X-n200-k36.vrp,200,58578.0,58578.0,2700.09,6.15,OK,58879.0,43.87,18.51,OK
X-n204-k19.vrp,204,19565.0,19565.0,2700.1,5.73,OK,19565.0,40.12,22.69,OK
X-n209-k16.vrp,209,30656.0,30656.0,2700.09,5.74,OK,30685.0,40.87,13.86,OK
X-n214-k11.vrp,214,10856.0,10856.0,2700.12,5.63,OK,10942.0,33.88,11.98,OK
X-n219-k73.vrp,219,117595.0,117595.0,2700.13,7.19,OK,117595.0,195.06,53.03,OK
X-n223-k34.vrp,223,40437.0,40437.0,2700.08,6.3,OK,40627.0,38.21,19.84,OK
X-n228-k23.vrp,228,25742.0,25742.0,2700.1,6.02,OK,25796.0,42.66,13.85,OK
X-n233-k16.vrp,233,19230.0,19230.0,2700.08,5.84,OK,19331.0,37.38,17.33,OK
X-n237-k14.vrp,237,27042.0,27042.0,2700.12,5.85,OK,27050.0,71.55,32.8,OK
X-n242-k48.vrp,242,82751.0,82789.0,2700.06,6.83,OK,83006.0,47.88,11.96,OK
X-n247-k50.vrp,247,37274.0,37274.0,2700.11,6.92,OK,37525.0,40.87,9.55,OK
X-n251-k28.vrp,251,38684.0,38684.0,2700.08,6.4,OK,38810.0,50.18,22.79,OK
X-n256-k16.vrp,256,18839.0,18839.0,2700.09,6.11,OK,18880.0,56.7,31.25,OK
X-n261-k13.vrp,261,26558.0,26558.0,2700.08,5.97,OK,26631.0,37.18,18.31,OK
X-n266-k58.vrp,266,75478.0,75529.0,2700.09,7.3,OK,75917.0,61.22,15.11,OK
